1; China;1,411,750,000;;;;;
2; India;1,392,329,000;;;;;
3; United States;334,609,000;;;;;
4; Indonesia;275,773,800;;;;;
5; Pakistan;235,825,000;;;;;
6; Nigeria;218,541,000;;;;;
7; Brazil;216,003,850;;;;;
8; Bangladesh;169,828,911;;;;;
9; Russia;146,424,729;;;;;
10; Mexico;128,665,641;;;;;
11; Japan;124,490,000;;;;;
12; Philippines;110,560,241;;;;;
13; Ethiopia;105,163,988;;;;;
14; Egypt;104,672,391;;;;;
15; Vietnam;99,460,000;;;;;
16; DR Congo;99,010,000;;;;;
17; Iran;86,342,996;;;;;
18; Turkey;85,279,553;;;;;
19; Germany;84,270,625;;;;;
20; France;68,042,591;;;;;
21; United Kingdom;67,026,292;;;;;
22; Thailand;66,916,405;;;;;
23; Tanzania;61,741,120;;;;;
24; South Africa;60,604,992;;;;;
25; Italy;58,833,079;;;;;
26; Myanmar;55,294,979;;;;;
27; Colombia;52,215,503;;;;;
28; South Korea;51,439,038;;;;;
29; Spain;47,615,034;;;;;
30; Kenya;47,564,296;;;;;
31; Argentina;46,044,703;;;;;
32; Algeria;45,400,000;;;;;
33; Sudan;45,302,180;;;;;
34; Uganda;42,885,900;;;;;
35; Iraq;41,190,700;;;;;
36; Ukraine;41,130,432;;;;;
37; Canada;39,788,426;;;;;
38; Poland;37,749,000;;;;;
39; Morocco;36,921,290;;;;;
40; Uzbekistan;36,156,185;;;;;
41; Saudi Arabia;34,110,821;;;;;
42; Yemen;33,697,000;;;;;
43; Peru;33,396,698;;;;;
44; Angola;33,086,278;;;;;
45; Afghanistan;32,890,171;;;;;
46; Malaysia;32,781,600;;;;;
47; Mozambique;32,419,747;;;;;
48; Ghana;30,832,019;;;;;
49; Ivory Coast;29,389,150;;;;;
50; Nepal;29,164,578;;;;;
51; Venezuela;28,302,000;;;;;
52; Madagascar;26,923,353;;;;;
53; Australia;26,080,270;;;;;
54; North Korea;25,660,000;;;;;
55; Cameroon;24,348,251;;;;;
56; Niger;24,112,753;;;;;
–; Taiwan;23,313,550;;;;;
57; Mali;22,594,000;;;;;
58; Burkina Faso;22,185,654;;;;;
59; Sri Lanka;22,181,000;;;;;
60; Syria;22,125,000;;;;;
61; Malawi;21,507,723;;;;;
62; Kazakhstan;19,833,804;;;;;
63; Chile;19,828,563;;;;;
64; Zambia;19,610,769;;;;;
65; Romania;19,053,815;;;;;
66; Ecuador;18,203,028;;;;;
67; Netherlands;17,815,610;;;;;
68; Somalia;17,598,000;;;;;
69; Senegal;17,223,497;;;;;
70; Guatemala;17,109,746;;;;;
71; Chad;16,818,391;;;;;
72; Cambodia;15,552,211;;;;;
73; Zimbabwe;15,178,979;;;;;
74; South Sudan;13,249,924;;;;;
75; Rwanda;13,246,394;;;;;
76; Guinea;12,907,395;;;;;
77; Burundi;12,574,571;;;;;
78; Benin;12,506,347;;;;;
79; Bolivia;12,006,031;;;;;
80; Tunisia;11,803,588;;;;;
81; Haiti;11,743,017;;;;;
82; Belgium;11,730,564;;;;;
83; Jordan;11,448,692;;;;;
84; Cuba;11,113,215;;;;;
85; Dominican Republic;10,535,535;;;;;
86; Czech Republic;10,526,937;;;;;
87; Sweden;10,521,556;;;;;
88; Greece;10,432,481;;;;;
89; Portugal;10,344,802;;;;;
90; Azerbaijan;10,127,145;;;;;
91; Israel;9,704,480;;;;;
92; Hungary;9,678,000;;;;;
93; Honduras;9,546,178;;;;;
94; Tajikistan;9,506,000;;;;;
95; United Arab Emirates;9,282,410;;;;;
96; Belarus;9,255,524;;;;;
97; Papua New Guinea;9,122,994;;;;;
98; Austria;9,106,126;;;;;
99; Switzerland;8,812,728;;;;;
100; Sierra Leone;8,494,260;;;;;
